i,doi,k,T,c,salt,c_unit,solvent_ratio_type,EC,PC,DMC,EMC,DEC,DME,DMSO,AN,MOEMC,TFP,EA,MA,FEC,DOL,MeTHF_2,DMM,Freon_11,Methylene_chloride,THF,Toluene,Sulfolane,Glyme_2,Glyme_3,Glyme_4,Me_3_Oxazolidinone_2,MeSulfolane_3,Ethyldiglyme,DMF,Ethylbenzene,Ethylmonoglyme,Benzene,g_Butyrolactone,Cumene,Propylsulfone,Pseudocumeme,TEOS,m_Xylene,o_Xylene
360,10.1016/S0378-7753(01)00697-8,0.346900385,248.15,0.201429182,LiAsF6,mol/kg,w,0.0,0.32,0.0,0.0,0.0,0.68,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
361,10.1016/S0378-7753(01)00697-8,0.428241617,258.15,0.198827338,LiAsF6,mol/kg,w,0.0,0.32,0.0,0.0,0.0,0.68,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
362,10.1016/S0378-7753(01)00697-8,0.505075429,268.15,0.19841202,LiAsF6,mol/kg,w,0.0,0.32,0.0,0.0,0.0,0.68,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
363,10.1016/S0378-7753(01)00697-8,0.586441092,278.15,0.200134368,LiAsF6,mol/kg,w,0.0,0.32,0.0,0.0,0.0,0.68,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
364,10.1016/S0378-7753(01)00697-8,0.658755268,288.15,0.19974348,LiAsF6,mol/kg,w,0.0,0.32,0.0,0.0,0.0,0.68,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
365,10.1016/S0378-7753(01)00697-8,0.735576864,298.15,0.197166066,LiAsF6,mol/kg,w,0.0,0.32,0.0,0.0,0.0,0.68,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
366,10.1016/S0378-7753(01)00697-8,0.481011421,248.15,0.339082636,LiAsF6,mol/kg,w,0.0,0.32,0.0,0.0,0.0,0.68,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
367,10.1016/S0378-7753(01)00697-8,0.582703231,258.15,0.338532951,LiAsF6,mol/kg,w,0.0,0.32,0.0,0.0,0.0,0.68,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
368,10.1016/S0378-7753(01)00697-8,0.704745618,268.15,0.340035424,LiAsF6,mol/kg,w,0.0,0.32,0.0,0.0,0.0,0.68,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
369,10.1016/S0378-7753(01)00697-8,0.822268369,278.15,0.341562328,LiAsF6,mol/kg,w,0.0,0.32,0.0,0.0,0.0,0.68,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
370,10.1016/S0378-7753(01)00697-8,0.94427411,288.15,0.336578513,LiAsF6,mol/kg,w,0.0,0.32,0.0,0.0,0.0,0.68,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
371,10.1016/S0378-7753(01)00697-8,1.064032248,298.15,0.33376901,LiAsF6,mol/kg,w,0.0,0.32,0.0,0.0,0.0,0.68,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
372,10.1016/S0378-7753(01)00697-8,0.542600623,248.15,0.440371343,LiAsF6,mol/kg,w,0.0,0.32,0.0,0.0,0.0,0.68,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
